DEPTH,DIP,AZIMUTH_NP,AZIMUTH_TOP,DIP_TRUE,AZIMUTH_TRUE,HAZI,DEVI,TYPE
830.5013,12.1,160,160,12.1,160,0,0,Bed Boundary
830.9991,12.1,160,160,12.1,160,0,0,Bed Boundary
831.4995,12.3,160,160,12.3,160,0,0,Bed Boundary
831.9999,12.5,160,160,12.5,160,0,0,Bed Boundary
832.5002,12.8,160,160,12.8,160,0,0,Bed Boundary
833.0006,13.3,160,160,13.3,160,0,0,Bed Boundary
833.501,14.1,160,160,14.1,160,0,0,Bed Boundary
833.9988,15.2,160,160,15.2,160,0,0,Bed Boundary
834.4992,16.8,160,160,16.8,160,0,0,Bed Boundary
834.9996,19,160,160,19,160,0,0,Bed Boundary
835.5,21.7,160,160,21.7,160,0,0,Bed Boundary
836.0004,25.1,160,160,25.1,160,0,0,Bed Boundary
836.5007,29,160,160,29,160,0,0,Bed Boundary
837.0011,33.3,160,160,33.3,160,0,0,Bed Boundary
837.499,37.8,160,160,37.8,160,0,0,Bed Boundary
837.9993,42.2,160,160,42.2,160,0,0,Bed Boundary
838.4997,46.2,160,160,46.2,160,0,0,Bed Boundary
839.0001,49.3,160,160,49.3,160,0,0,Bed Boundary
839.5005,51.3,160,160,51.3,160,0,0,Bed Boundary
840.0009,52,160,160,52,160,0,0,Bed Boundary
840.5012,51.3,160,160,51.3,160,0,0,Bed Boundary
840.9991,49.3,160,160,49.3,160,0,0,Bed Boundary
841.4995,46.2,160,160,46.2,160,0,0,Bed Boundary
841.9998,42.2,160,160,42.2,160,0,0,Bed Boundary
842.5002,37.8,160,160,37.8,160,0,0,Bed Boundary
843.0006,33.3,160,160,33.3,160,0,0,Bed Boundary
843.501,29,160,160,29,160,0,0,Bed Boundary
843.9988,25.1,160,160,25.1,160,0,0,Bed Boundary
844.4992,21.7,160,160,21.7,160,0,0,Bed Boundary
844.9996,19,160,160,19,160,0,0,Bed Boundary
845.4999,16.8,160,160,16.8,160,0,0,Bed Boundary
846.0004,15.2,160,160,15.2,160,0,0,Bed Boundary
846.5007,14.1,160,160,14.1,160,0,0,Bed Boundary
847.0011,13.3,160,160,13.3,160,0,0,Bed Boundary
847.499,12.8,160,160,12.8,160,0,0,Bed Boundary
847.9993,12.5,160,160,12.5,160,0,0,Bed Boundary
848.4997,12.3,160,160,12.3,160,0,0,Bed Boundary
849.0001,12.1,160,160,12.1,160,0,0,Bed Boundary
849.5005,12.1,160,160,12.1,160,0,0,Bed Boundary
893.5009,57.99573,266.0356,325.941,53.9,264,300,5,Bed Boundary
894.0013,56.22655,278.4789,338.3842,51.6,277,300,5,Bed Boundary
894.4991,55.21409,289.7975,349.7028,50.3,289,300,5,Bed Boundary
894.9995,54.99715,301.965,1.87036,50,302,300,5,Bed Boundary
895.4999,55.44049,314.1496,14.05493,50.6,315,300,5,Bed Boundary
920.0007,25,302.4986,0,0,295,300,25,Bed Boundary
920.5011,25,302.4986,0,0,295,300,25,Bed Boundary
920.9989,25,302.4986,0,0,295,300,25,Bed Boundary
921.4993,25,302.4986,0,0,295,300,25,Bed Boundary
921.9997,25,302.4986,0,0,295,300,25,Bed Boundary
922.5001,25,302.4986,0,0,295,300,25,Bed Boundary
923.0004,25,302.4986,0,0,295,300,25,Bed Boundary
923.5008,25,302.4986,0,0,295,300,25,Bed Boundary
924.0012,25,302.4986,0,0,295,300,25,Bed Boundary
924.499,25,302.4986,0,0,295,300,25,Bed Boundary
924.9994,25,302.4986,0,0,295,300,25,Bed Boundary
925.4998,25,302.4986,0,0,295,300,25,Bed Boundary
926.0002,25,302.4986,0,0,295,300,25,Bed Boundary
926.5005,27.59098,302.0095,359.5109,2.6,295,300,25,Bed Boundary
927.0009,28.18911,301.9085,359.4099,3.2,295,300,25,Bed Boundary
927.4988,28.88703,301.7955,359.2969,3.9,295,300,25,Bed Boundary
927.9991,29.68476,301.6723,359.1737,4.7,295,300,25,Bed Boundary
928.4995,30.68207,301.5266,359.028,5.7,295,300,25,Bed Boundary
928.9999,31.77929,301.3758,358.8772,6.8,295,300,25,Bed Boundary
929.5003,33.07622,301.2092,358.7106,8.1,295,300,25,Bed Boundary
930.0007,34.67272,301.0194,358.5208,9.7,295,300,25,Bed Boundary
930.501,36.3693,300.8338,358.3352,11.4,295,300,25,Bed Boundary
930.9989,38.36561,300.6337,358.1351,13.4,295,300,25,Bed Boundary
931.4993,40.56191,300.433,357.9344,15.6,295,300,25,Bed Boundary
931.9996,43.05809,300.2256,357.7271,18.1,295,300,25,Bed Boundary
932.5001,45.85421,300.0152,357.5166,20.9,295,300,25,Bed Boundary
933.0004,48.85044,299.8108,357.3122,23.9,295,300,25,Bed Boundary
933.5008,52.24657,299.6006,357.102,27.3,295,300,25,Bed Boundary
934.0012,55.84283,299.398,356.8994,30.9,295,300,25,Bed Boundary
934.499,59.83905,299.1923,356.6937,34.9,295,300,25,Bed Boundary
934.9994,64.1353,298.9889,356.4903,39.2,295,300,25,Bed Boundary
935.4998,68.63166,298.7913,356.2927,43.7,295,300,25,Bed Boundary
936.0002,73.32809,298.5975,356.0989,48.4,295,300,25,Bed Boundary
936.5005,78.32448,298.4014,355.9028,53.4,295,300,25,Bed Boundary
937.0009,83.52085,298.2048,355.7062,58.6,295,300,25,Bed Boundary
937.4988,88.81724,298.0086,355.51,63.9,295,300,25,Bed Boundary
937.9991,85.78643,117.8094,175.3108,69.3,295,300,25,Bed Boundary
938.4995,80.29022,117.6036,175.1051,74.8,295,300,25,Bed Boundary
938.9999,74.89407,117.3949,174.8963,80.2,295,300,25,Bed Boundary
940.501,59.50648,116.7212,174.2227,84.4,115,300,25,Bed Boundary
940.9989,54.811,116.4757,173.9771,79.7,115,300,25,Bed Boundary
941.4993,50.51563,116.2248,173.7262,75.4,115,300,25,Bed Boundary
941.9996,46.62034,115.9689,173.4704,71.5,115,300,25,Bed Boundary
942.5,43.22498,115.7175,173.2189,68.1,115,300,25,Bed Boundary
943.0004,40.42926,115.4854,172.9868,65.3,115,300,25,Bed Boundary
943.5008,38.13315,115.2739,172.7753,63,115,300,25,Bed Boundary
944.0012,36.4363,115.1032,172.6046,61.3,115,300,25,Bed Boundary
944.499,35.43827,114.9962,172.4976,60.3,115,300,25,Bed Boundary
944.9994,35.13888,114.9631,172.4645,60,115,300,25,Bed Boundary
945.4998,35.43827,114.9962,172.4976,60.3,115,300,25,Bed Boundary
946.0001,36.4363,115.1032,172.6046,61.3,115,300,25,Bed Boundary
946.5005,38.13315,115.2739,172.7753,63,115,300,25,Bed Boundary
947.0009,40.42926,115.4854,172.9868,65.3,115,300,25,Bed Boundary
947.4987,43.22498,115.7175,173.2189,68.1,115,300,25,Bed Boundary
947.9991,46.62034,115.9689,173.4704,71.5,115,300,25,Bed Boundary
948.4995,50.51563,116.2248,173.7262,75.4,115,300,25,Bed Boundary
948.9999,54.811,116.4757,173.9771,79.7,115,300,25,Bed Boundary
949.5002,59.50648,116.7212,174.2227,84.4,115,300,25,Bed Boundary
950.9988,74.89407,117.3949,174.8963,80.2,295,300,25,Bed Boundary
951.4993,80.29022,117.6036,175.1051,74.8,295,300,25,Bed Boundary
951.9996,85.78643,117.8094,175.3108,69.3,295,300,25,Bed Boundary
952.5,88.81724,298.0086,355.51,63.9,295,300,25,Bed Boundary
953.0004,83.52085,298.2048,355.7062,58.6,295,300,25,Bed Boundary
953.5007,78.32448,298.4014,355.9028,53.4,295,300,25,Bed Boundary
954.0012,73.32809,298.5975,356.0989,48.4,295,300,25,Bed Boundary
954.499,68.63166,298.7913,356.2927,43.7,295,300,25,Bed Boundary
954.9994,64.1353,298.9889,356.4903,39.2,295,300,25,Bed Boundary
955.4998,59.83905,299.1923,356.6937,34.9,295,300,25,Bed Boundary
956.0001,55.84283,299.398,356.8994,30.9,295,300,25,Bed Boundary
956.5005,52.24657,299.6006,357.102,27.3,295,300,25,Bed Boundary
957.0009,48.85044,299.8108,357.3122,23.9,295,300,25,Bed Boundary
957.5013,45.85421,300.0152,357.5166,20.9,295,300,25,Bed Boundary
957.9991,43.05809,300.2256,357.7271,18.1,295,300,25,Bed Boundary
958.4995,40.56191,300.433,357.9344,15.6,295,300,25,Bed Boundary
958.9999,38.36561,300.6337,358.1351,13.4,295,300,25,Bed Boundary
959.5002,36.3693,300.8338,358.3352,11.4,295,300,25,Bed Boundary
960.0006,34.67272,301.0194,358.5208,9.7,295,300,25,Bed Boundary
960.501,33.07622,301.2092,358.7106,8.1,295,300,25,Bed Boundary
960.9988,31.77929,301.3758,358.8772,6.8,295,300,25,Bed Boundary
961.4992,30.68207,301.5266,359.028,5.7,295,300,25,Bed Boundary
961.9996,29.68476,301.6723,359.1737,4.7,295,300,25,Bed Boundary
962.5,28.88703,301.7955,359.2969,3.9,295,300,25,Bed Boundary
963.0004,28.18911,301.9085,359.4099,3.2,295,300,25,Bed Boundary
963.5007,27.59098,302.0095,359.5109,2.6,295,300,25,Bed Boundary
964.0011,25,302.4986,0,0,295,300,25,Bed Boundary
964.499,25,302.4986,0,0,295,300,25,Bed Boundary
964.9993,25,302.4986,0,0,295,300,25,Bed Boundary
965.4997,25,302.4986,0,0,295,300,25,Bed Boundary
966.0001,25,302.4986,0,0,295,300,25,Bed Boundary
966.5005,25,302.4986,0,0,295,300,25,Bed Boundary
967.0009,25,302.4986,0,0,295,300,25,Bed Boundary
967.5012,25,302.4986,0,0,295,300,25,Bed Boundary
967.9991,25,302.4986,0,0,295,300,25,Bed Boundary
968.4995,25,302.4986,0,0,295,300,25,Bed Boundary
968.9998,25,302.4986,0,0,295,300,25,Bed Boundary
969.5002,25,302.4986,0,0,295,300,25,Bed Boundary
993.5007,57.99573,266.0356,325.941,53.9,264,300,5,Bed Boundary
994.001,56.22655,278.4789,338.3842,51.6,277,300,5,Bed Boundary
994.4989,55.21409,289.7975,349.7028,50.3,289,300,5,Bed Boundary
994.9993,54.99715,301.965,1.87036,50,302,300,5,Bed Boundary
995.4996,55.44049,314.1496,14.05493,50.6,315,300,5,Bed Boundary
1040.369,6.61873,21.86549,254.864,6.8,17,127,0.6,Bed Boundary
1040.869,6.5191,20.94067,254.9392,6.7,16,126,0.6,Bed Boundary
1041.37,6.59089,27.06735,262.0659,6.7,22,125,0.6,Bed Boundary
1041.87,7.06241,31.82343,268.822,7.1,27,123,0.6,Bed Boundary
1042.871,5.00256,24.55171,261.5507,5.1,19,123,0.5,Bed Boundary
1043.869,4.09725,14.2318,249.2308,4.3,8,125,0.5,Bed Boundary
1044.369,4.95127,21.43207,255.431,5.1,16,126,0.5,Bed Boundary
1044.87,5.52378,18.76505,251.764,5.7,14,127,0.5,Bed Boundary
1045.37,5.79819,15.4303,248.4292,6,11,127,0.5,Bed Boundary
1045.87,5.98953,15.25029,247.2492,6.2,11,128,0.5,Bed Boundary
1046.371,7.21924,19.63625,250.6352,7.4,16,129,0.5,Bed Boundary
1046.871,7.32729,21.60805,251.607,7.5,18,130,0.5,Bed Boundary
1047.369,8.31034,30.35086,261.3498,8.4,27,129,0.5,Bed Boundary
1047.869,6.5126,18.0048,250.0038,6.7,14,128,0.5,Bed Boundary
